C:\Users\Acer>jmap -histo 9728
No dump file specified
Позволяет увидеть какие объекты созданы и в каком количестве
 номер		кол-во			вес		имя класса
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         20444        1162608  [B (java.base@15)
   2:         19359         464616  java.lang.String (java.base@15)
   3:          2918         352248  java.lang.Class (java.base@15)
   4:          3918         225728  [Ljava.lang.Object; (java.base@15)
   5:          6455         206560  java.util.HashMap$Node (java.base@15)
   6:          6299         201568  java.util.concurrent.ConcurrentHashMap$Node (java.base@15)
   7:          4081         163240  java.util.TreeMap$Entry (java.base@15)
   8:          1172         126568  [I (java.base@15)
   9:           333         115152  [C (java.base@15)
  10:           772         102056  [Ljava.util.HashMap$Node; (java.base@15)
  11:           789          69432  java.lang.reflect.Method (java.base@15)
  12:          1562          62480  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@15)
  13:           114          61632  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@15)
  14:          1265          60720  java.util.TreeMap (java.base@15)
  15:          1408          56320  java.lang.ref.SoftReference (java.base@15)
  16:          2088          50112  java.lang.Long (java.base@15)
  17:           740          35520  java.util.HashMap (java.base@15)
  18:          1089          34720  [Ljava.lang.String; (java.base@15)
  19:           644          30912  java.lang.invoke.MemberName (java.base@15)
  20:          1218          29952  [Ljava.lang.Class; (java.base@15)
  21:          1224          29376  javax.management.openmbean.CompositeDataSupport (java.management@15)
  22:           641          25640  java.util.LinkedHashMap$Entry (java.base@15)
  23:           799          25568  sun.util.locale.BaseLocale (java.base@15)
  24:           780          24960  sun.util.locale.BaseLocale$Key (java.base@15)
  25:           370          23680  java.util.concurrent.ConcurrentHashMap (java.base@15)
  26:           520          20800  java.lang.invoke.MethodType (java.base@15)
  27:          1233          19728  java.util.TreeMap$KeySet (java.base@15)
  28:           250          17000  [Ljava.lang.ref.SoftReference; (java.base@15)
  29:           408          16320  java.math.BigInteger (java.base@15)
  30:           219          15768  java.lang.reflect.Constructor (java.base@15)
